,p,sep1,sep2,sep3,sep4,sep5,sep6,sep7,sep8,sep9,sep10,sep15,sep20,sep25,sep30,sed1,sed2,sed3,sed4,sed5,sed6,sed7,sed8,sed9,sed10,sed15,sed20,sed25,sed30
0,0.0005,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.3673469387755102,0.36,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.36
1,0.00056,0.625,0.625,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.625,0.625,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5357142857142857
2,0.0006200062000620006,0.7741935483870968,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7258064516129032,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.7741935483870968,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7258064516129032,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.6935483870967742
3,0.0006500325016250812,0.8307692307692308,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.78125,0.7692307692307693,0.78125,0.78125,0.7384615384615385,0.7384615384615385,0.7384615384615385,0.8307692307692308,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7846153846153846,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7384615384615385,0.7384615384615385,0.7384615384615385
4,0.0007100497034792435,0.8309859154929577,0.8309859154929577,0.8309859154929577,0.8309859154929577,0.8309859154929577,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.7887323943661971,0.782608695652174,0.7605633802816901,0.7647058823529411,0.782608695652174,0.8309859154929577,0.8309859154929577,0.8309859154929577,0.8309859154929577,0.8309859154929577,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.7887323943661971,0.7746478873239436,0.7605633802816901,0.7605633802816901,0.7746478873239436
5,0.0007700770077007701,0.8051948051948052,0.7922077922077922,0.7792207792207793,0.7532467532467533,0.7532467532467533,0.7402597402597403,0.7368421052631579,0.7368421052631579,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7368421052631579,0.7272727272727273,0.7272727272727273,0.8051948051948052,0.7922077922077922,0.7792207792207793,0.7532467532467533,0.7532467532467533,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7272727272727273,0.7272727272727273,0.7272727272727273
6,0.0008101215182277342,0.8024691358024691,0.7530864197530864,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.75,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7341772151898734,0.7160493827160493,0.7160493827160493,0.6835443037974683,0.8024691358024691,0.7530864197530864,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7407407407407407,0.7160493827160493,0.7160493827160493,0.691358024691358
7,0.000880158428517133,0.7840909090909091,0.7840909090909091,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7674418604651163,0.7816091954022989,0.7613636363636364,0.7241379310344828,0.6818181818181818,0.6704545454545454,0.7840909090909091,0.7840909090909091,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7613636363636364,0.7272727272727273,0.6818181818181818,0.6704545454545454
8,0.0009602016423448924,0.8020833333333334,0.8020833333333334,0.8020833333333334,0.78125,0.78125,0.7578947368421053,0.75,0.7291666666666666,0.7263157894736842,0.7157894736842105,0.6875,0.6875,0.6914893617021277,0.7021276595744681,0.8020833333333334,0.8020833333333334,0.8020833333333334,0.78125,0.78125,0.7604166666666666,0.75,0.7291666666666666,0.7291666666666666,0.71875,0.6875,0.6875,0.6875,0.6875
9,0.0010502520604945187,0.7714285714285715,0.7523809523809524,0.7142857142857143,0.6952380952380952,0.6857142857142857,0.6666666666666666,0.6476190476190476,0.6476190476190476,0.6538461538461539,0.6442307692307693,0.6019417475728155,0.5980392156862745,0.5865384615384616,0.580952380952381,0.7714285714285715,0.7523809523809524,0.7142857142857143,0.6952380952380952,0.6857142857142857,0.6666666666666666,0.6476190476190476,0.6476190476190476,0.6476190476190476,0.638095238095238,0.6,0.6,0.5904761904761905,0.580952380952381
