,S,I,R,Q,SQ,total_tested_individual,positive_results,number_of_total_tests,n_star,number_of_group_tests,TP,TN,FP,FN,n_star_by_sim,mean_day,is_increasing,v_mean,v_std,v_pt_0,v_pt_15,v_pt_25,v_pt_50,v_pt_75,v_pt_85,v_pt_100,day,PPV,NPV,I_all,total_sample
0,99950,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0.09766054269012749,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,50,0
1,99944,56,0,0,0,0,0,0,1,0,0,0,0,0,1,0.13000528156878208,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,56,0
2,99937,62,0,0,1,0,0,0,1,0,0,0,0,0,1,0.1546288325715128,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,63,0
3,99930,65,0,0,5,0,0,0,1,0,0,0,0,0,1,0.18026218117423423,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,,70,0
4,99922,71,0,0,7,0,0,0,1,0,0,0,0,0,1,0.20208350939875327,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,,78,0
5,99913,76,0,0,11,0,0,0,1,0,0,0,0,0,1,0.2237206456391508,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,87,0
6,99904,80,0,0,16,0,0,0,1,0,0,0,0,0,1,0.24385119525841786,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,,96,0
7,99894,88,0,0,18,0,0,0,1,0,0,0,0,0,1,0.25994828591299896,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,,,106,0
8,99883,97,0,0,20,0,0,0,1,0,0,0,0,0,1,0.27834571519330503,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,,117,0
9,99871,106,0,0,23,0,0,0,1,0,0,0,0,0,1,0.2929134811253408,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,,,129,0
10,99858,118,0,0,24,0,0,0,1,0,0,0,0,0,1,0.3069317368830257,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,,142,0
11,99844,129,0,0,27,0,0,0,1,0,0,0,0,0,1,0.3148737432967193,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,,,156,0
12,99828,136,1,0,35,0,0,0,1,0,0,0,0,0,1,0.3176158336277598,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,,172,0
13,99812,147,3,0,38,0,0,0,1,0,0,0,0,0,1,0.31606806022453654,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,,,188,0
14,99794,159,8,0,39,0,0,0,1,0,0,0,0,0,1,0.3238122866893714,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,,,206,0
15,99775,174,9,0,42,0,0,0,1,0,0,0,0,0,1,0.3248542126272672,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,,,225,0
16,99754,188,14,0,44,0,0,0,1,0,0,0,0,0,1,0.31013906336952013,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,,246,0
17,99731,198,24,0,47,0,0,0,1,0,0,0,0,0,1,0.3160907262773298,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,,269,0
18,99707,218,27,0,48,0,0,0,1,0,0,0,0,0,1,0.3131627394615621,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,,,293,0
19,99681,236,32,0,51,0,0,0,1,0,0,0,0,0,1,0.3239166136162285,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,,,319,0
20,99653,258,35,0,54,0,0,0,1,0,0,0,0,0,1,0.3101628531404126,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,,,347,0
21,99622,271,46,0,61,0,0,0,1,0,0,0,0,0,1,0.3099581417131466,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,,,378,0
22,99589,293,53,0,65,0,0,0,1,0,0,0,0,0,1,0.3130578791105281,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,,,411,0
23,99554,316,61,0,69,0,0,0,1,0,0,0,0,0,1,0.3052941039806045,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,,,446,0
24,99516,337,73,0,74,0,0,0,1,0,0,0,0,0,1,0.30364411731974195,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,,,484,0
25,99475,363,82,0,80,0,0,0,1,0,0,0,0,0,1,0.30186394892650353,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,,,525,0
26,99431,395,94,0,80,0,0,0,1,0,0,0,0,0,1,0.3110387043377099,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,,,569,0
27,99384,431,101,0,84,0,0,0,1,0,0,0,0,0,1,0.30999138225714346,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,,,616,0
28,99332,463,110,0,95,0,0,0,1,0,0,0,0,0,1,0.30775465823322723,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,,,668,0
29,99276,497,124,0,103,0,0,0,1,0,0,0,0,0,1,0.2967260947009926,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,,,724,0
30,99216,533,142,0,109,0,0,0,1,0,0,0,0,0,1,0.3027288266458361,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,,,784,0
31,99152,580,153,0,115,0,0,0,1,0,0,0,0,0,1,0.30903574184189037,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,,,848,0
32,99082,621,163,0,134,0,0,0,1,0,0,0,0,0,1,0.31738626027953143,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,,,918,0
33,99008,677,173,0,142,0,0,0,1,0,0,0,0,0,1,0.3210162784348019,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,,,992,0
34,98927,731,186,0,156,0,0,0,1,0,0,0,0,0,1,0.324118309836015,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,,,1073,0
35,98840,792,205,0,163,0,0,0,1,0,0,0,0,0,1,0.3264549001788078,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,,,1160,0
